success_prob,lat_mean,lat_std,cost_mean
0.5498,6.57,2.39,1530.55
0.9021,1.11,0.1,514.93
0.332,14.34,6.78,4560.15
0.7231,1.76,0.43,508.36
0.2695,11.81,5.69,4697.69
0.2919,14.61,6.83,6256.28
0.4929,11.43,5.35,4624.59
0.8437,2.24,0.81,992.71
0.7384,3.16,0.8,1371.69
0.3989,6.64,2.36,1622.77
0.5118,6.73,2.67,2737.32
0.8845,1.22,0.23,419.09
0.5976,5.4,2.28,1228.41
0.8466,1.28,0.3,303.61
0.7192,2.21,0.49,664.89
0.542,5.26,2.4,2077.6
0.8892,1.67,0.44,827.74
0.7668,2.05,0.7,494.56
0.5602,3.56,1.08,1425.49
0.4422,8.95,3.88,3358.25
0.5627,3.51,1.06,753.95
0.7608,2.19,0.54,833.93
0.529,6.95,2.73,1308.88
0.5132,9.88,3.78,2407.18
0.6717,3.16,0.94,990.29
0.5509,5.82,2.25,2399.5
0.1928,20.37,10.9,4344.81
0.7076,2.31,0.76,819.53
0.3145,17.33,7.83,5645.9
0.0833,28.69,16.63,10348.53
0.7316,2.59,0.53,1107.24
0.7224,2.91,0.86,1025.98
0.2736,14.32,6.68,5664.49
0.6262,2.95,0.97,1118.69
0.7505,2.3,0.46,569.84
0.6657,2.82,0.9,1019.67
0.234,21.75,8.8,5656.75
0.7058,1.43,0.41,529.05
0.8105,1.92,0.4,656.2
0.6052,3.97,1.44,1089.59
0.2104,12.37,6.24,5101.35
0.3973,6.27,2.32,2634.77
0.4882,6.57,2.44,2075.28
0.2388,22.78,12.72,8371.03
0.6416,4.31,1.48,2024.25
0.425,10.75,4.78,2281.12
0.7075,1.75,0.39,636.99
0.4458,7.57,3.71,1929.26
0.2466,18.66,9.69,7049.2
0.4543,6.19,2.14,1347.75
0.5359,7.58,3.15,2962.85
0.7216,1.71,0.5,596.96
0.74,1.88,0.48,614.44
0.7494,3.37,0.84,1347.11
0.2234,19.65,11.61,3960.67
0.5986,6.56,2.67,2749.23
0.5837,3.11,0.73,906.33
0.3507,16.13,8.36,4899.22
0.7298,3.21,1.03,1278.07
0.6646,4.75,1.59,1120.95
0.5903,4.2,1.73,1545.34
0.5699,6.16,1.53,1914.97
0.4358,11.83,5.78,3887.17
0.6712,2.15,0.72,810.15
0.1691,29.34,15.38,8370.35
0.4461,7.43,2.58,2020.45
0.6727,3.62,1.42,935.54
0.1895,11.4,5.24,4675.85
0.2998,13.15,6.75,3702.08
0.242,23.45,13.28,5988.26
0.1645,35.9,21.83,6985.96
0.2528,17.37,8.98,6424.98
0.4512,7.37,2.89,2418.99
0.2744,18.13,8.91,4196.17
0.2447,16.55,7.72,6681.03
0.8793,1.19,0.2,581.49
0.8715,1.81,0.36,909.81
0.7373,2.87,0.51,1065.15
0.4259,12.19,5.85,3443.86
0.6802,3.43,0.68,862.7
0.8309,1.73,0.4,591.18
0.6476,5.13,1.73,1797.46
0.4761,7.36,2.59,1889.22
0.3956,7.51,2.97,2261.71
0.646,2.45,0.65,853.57
0.5285,6.44,2.85,2489.44
0.5239,5.78,2.41,1313.12
0.1378,13.72,6.85,5518.69
0.4647,10.39,4.11,3077.94
0.3295,11.08,5.55,3742.47
0.3052,11.01,5.45,4609.24
0.849,1.02,0.17,361.14
0.6793,3.57,1.05,1584.55
0.3558,14.51,7.88,5528.19
0.4945,5.98,2.5,2646.04
0.6158,5.48,2.18,1643.83
0.744,2.99,1.06,699.23
0.1899,16.24,8.64,3009.47
0.4722,6.13,2.48,2467.32
0.7806,1.74,0.39,520.56
0.8031,1.39,0.34,479.69
0.3007,17.27,7.52,7393.67
0.7573,2.29,0.48,820.52
0.3496,12.7,5.75,3081.92
0.3746,7.06,3.61,2633.75
0.3115,20.31,8.94,5130.1
0.399,8.85,4.03,2835.74
0.6271,10.4,3.68,2304.18
0.401,16.85,7.93,5070.99
0.4614,11.48,4.78,2513.31
0.4622,11.07,4.78,4213.01
0.4077,13.19,7.11,3617.6
0.883,1.18,0.29,362.57
0.4821,5.71,2.86,2563.7
0.4049,7.91,3.49,3155.66
0.3961,7.68,2.85,2578.29
0.5288,8.76,2.9,3662.64
0.5464,5.43,1.92,1414.67
0.6873,2.52,0.83,886.53
0.4555,5.6,2.59,2393.41
0.5858,4.73,1.78,1653.3
0.795,1.85,0.29,696.64
0.391,18.09,8.11,6877.68
0.3359,16.66,9.41,3613.68
0.4552,7.69,2.75,1852.42
0.6257,4.86,2.05,1920.24
0.4798,11.22,4.94,2266.04
0.5133,4.79,1.68,1091.83
0.7503,2.31,0.49,809.99
0.547,6.66,2.03,1874.3
0.7307,1.86,0.53,731.75
0.6237,4.7,1.43,1717.42
0.6053,4.33,1.71,1555.07
0.1908,19.73,10.27,6956.33
0.5632,6.64,2.6,1402.82
0.8425,2.32,0.56,742.55
0.4716,8.99,4.48,3773.56
0.2692,18.61,8.55,5356.25
0.2218,10.45,5.09,2511.27
0.7108,3.0,0.68,1316.06
0.4494,11.99,4.76,3501.2
0.7984,2.74,0.75,1003.31
0.7834,1.01,0.2,360.19
0.4697,8.52,4.62,3059.28
0.5945,4.74,1.76,1103.56
0.1951,26.15,13.84,8722.48
0.6785,4.42,1.43,1806.36
0.4371,9.32,2.84,3329.19
0.4232,7.51,2.76,1590.92
0.652,4.19,1.0,925.3
0.4807,7.18,2.75,2891.92
0.6239,3.64,1.14,1512.81
0.3254,8.92,4.87,2074.35
0.5551,7.74,2.91,2185.15
0.629,3.42,0.82,1290.45
0.6239,4.22,1.69,1677.91
0.7342,2.14,0.28,1022.18
0.6648,4.54,1.29,1751.56
0.5262,5.76,2.2,1340.25
0.5803,3.72,1.32,1603.68
0.6983,2.04,0.63,910.24
0.3819,13.73,6.46,3776.51
0.5091,7.45,3.06,2391.7
0.5835,3.83,1.18,969.46
0.5462,4.88,1.3,1329.93
0.6863,3.65,1.07,1605.08
0.2888,16.02,7.22,3305.12
0.1348,20.45,10.72,7611.72
0.3512,16.48,8.85,3470.76
0.2136,31.52,20.32,7958.87
0.5379,5.64,2.32,1939.05
0.3287,9.3,4.76,1774.02
0.858,0.92,0.17,495.89
0.3507,9.12,4.4,2427.27
0.5939,7.6,3.03,2955.31
0.8336,1.95,0.58,890.3
0.5405,5.42,1.64,1565.65
0.1389,20.93,12.33,4053.4
0.6894,2.24,0.49,963.52
0.2774,14.16,7.44,3609.78
0.7662,2.7,0.52,756.47
0.228,20.99,9.34,8329.75
0.4035,6.53,2.24,1666.39
0.6908,2.88,0.9,1201.69
0.2075,34.93,19.51,8457.03
0.7191,3.68,1.43,1421.89
0.5341,4.88,1.84,1701.84
0.3533,17.23,8.74,5340.34
0.8164,1.3,0.3,436.09
0.8154,1.24,0.28,380.08
0.4083,6.53,2.67,1342.03
0.5281,4.97,2.05,1972.67
0.6225,3.76,0.93,1533.95
0.6063,4.42,0.95,1816.83
0.788,1.69,0.37,630.77
0.7082,2.27,0.41,907.97
0.6709,3.37,1.21,1295.75
0.5275,5.77,1.99,2185.53
0.5885,3.34,1.0,819.46
0.4617,7.99,4.29,2328.61
0.3771,9.71,4.26,2433.95
0.3081,14.44,7.3,3975.83
0.7432,2.0,0.58,891.58
0.5187,6.75,3.03,1960.83
0.304,12.75,6.91,4765.87
0.1956,34.58,16.68,14436.3
0.812,2.91,0.72,1305.41
0.6109,2.12,0.68,922.28
0.3753,11.24,4.49,4387.64
0.3655,14.32,6.64,4049.71
0.2107,25.59,12.37,9282.35
0.3946,14.76,7.56,5103.85
0.5568,9.08,3.32,4002.09
0.2632,9.62,4.44,3242.08
0.7971,1.6,0.32,636.02
0.2896,25.64,12.72,10011.14
0.388,8.43,4.39,3119.86
0.7296,2.21,0.44,689.71
0.508,4.92,1.72,1745.19
0.2459,29.72,16.09,9664.96
0.5656,7.34,2.31,2480.05
0.6076,5.08,1.84,2131.27
0.3369,11.7,5.02,3851.62
0.5413,3.21,0.92,1336.45
0.6416,5.94,2.14,1781.33
0.1507,23.56,15.2,4625.05
0.7095,2.35,0.63,814.25
0.2813,17.22,8.25,5438.1
0.4274,8.31,3.4,3354.72
0.6883,4.36,1.23,1662.86
0.539,4.93,1.94,1671.5
0.4615,8.72,3.72,2574.22
0.3336,12.17,4.29,5197.62
0.4034,6.93,3.43,1581.89
0.56,4.69,1.88,1191.98
0.5726,5.98,2.24,2088.67
0.4237,6.65,1.89,2471.77
0.8002,1.44,0.32,613.1
0.4227,6.41,2.96,1242.52
0.8384,2.04,0.52,815.99
0.6792,4.35,1.32,974.58
0.2179,22.89,13.27,4564.64
0.6391,1.88,0.58,580.08
0.536,6.05,2.54,1505.06
0.6802,2.45,0.7,845.9
0.6852,3.83,1.19,1439.87
0.1797,20.3,11.9,4137.53
0.4323,4.7,1.67,1479.46
0.6973,2.81,0.65,1041.47
0.4164,7.7,3.29,1464.36
0.284,15.22,7.91,5528.74
0.7976,1.74,0.52,419.63
0.3917,4.8,2.08,2063.96
0.3039,22.27,11.62,7616.44
0.5461,8.28,3.13,2241.62
0.783,2.07,0.41,894.75
0.6892,2.31,0.67,716.88
0.4093,8.37,3.05,2156.9
0.8855,1.2,0.24,479.36
0.1445,31.03,21.9,10227.49
0.2088,13.19,5.71,4780.77
0.4522,13.72,6.4,4787.84
0.7023,3.81,1.22,1707.2
0.5253,8.04,3.24,3359.71
0.4449,10.75,4.01,2645.74
0.6309,4.72,1.69,2102.54
0.2702,12.86,6.41,2770.36
0.5143,4.97,1.32,2169.96
0.4459,7.74,3.54,2005.29
0.5575,4.25,1.62,1262.86
0.658,4.56,1.15,1399.25
0.3524,12.8,5.83,3011.29
0.373,7.02,2.73,2782.94
0.6468,3.7,0.74,969.97
0.432,6.82,3.05,1981.24
0.1906,20.24,12.05,8269.84
0.6704,2.74,0.82,1093.76
0.4491,8.38,3.76,2832.26
0.5302,4.47,1.66,1992.64
0.3759,14.24,6.89,2763.01
0.4627,6.48,2.3,1877.92
0.5234,3.98,1.64,1023.46
0.6262,4.08,1.07,1037.44
0.5266,4.57,1.83,1234.08
0.094,28.36,14.96,9511.63
0.7298,2.83,0.5,809.35
0.2806,16.97,8.66,5903.34
0.4649,10.65,4.29,3929.32
0.4496,7.21,2.96,2206.17
0.6887,4.21,1.09,1406.58
0.6812,2.55,0.76,674.51
0.5531,4.53,1.61,1796.94
0.67,2.4,0.84,836.64
0.6858,2.77,0.88,1158.78
0.2765,12.79,5.82,3976.52
0.7658,1.59,0.29,695.22
0.2447,18.82,8.39,5179.89
0.6536,2.77,0.85,916.82
0.7982,1.89,0.5,770.19
0.7555,1.24,0.22,526.94
0.8034,2.22,0.54,903.89
0.7295,3.03,0.69,1306.7
0.4712,12.42,5.74,2524.04
0.119,48.54,30.64,19309.61
0.5537,4.7,1.1,2074.35
0.5435,5.91,2.61,1585.32
0.4088,8.85,3.78,1961.99
0.6465,2.91,0.78,1089.75
0.4354,3.99,1.43,987.15
0.6115,6.14,2.2,1531.32
0.5276,7.31,2.84,2326.18
0.4533,4.07,1.34,1453.45
0.1733,18.85,9.59,4280.32
0.6668,3.08,0.77,1407.17
0.4302,7.83,3.77,1827.3
0.5928,4.36,1.49,1043.47
0.3977,13.42,7.42,3052.72
0.3354,9.74,4.89,4147.65
0.0833,29.15,18.01,11528.15
0.9033,1.0,0.13,311.27
0.6752,3.53,0.92,1344.74
0.8344,1.31,0.27,337.63
0.5086,4.24,1.34,1026.26
0.8869,1.58,0.24,417.49
0.7185,3.29,0.93,1341.43
0.4596,12.72,5.74,3655.56
0.7524,1.48,0.28,572.44
0.5735,5.43,1.99,1119.59
0.828,1.76,0.43,766.23
0.1651,17.61,8.64,7487.4
0.6267,2.77,0.68,651.44
0.6468,4.56,1.49,1629.17
0.4827,9.3,2.55,3268.47
0.8392,1.9,0.39,1004.19
0.8431,1.42,0.38,490.64
0.6071,6.96,1.37,1812.93
0.5993,3.63,1.34,1174.57
0.594,3.29,1.26,1133.5
0.3627,11.84,4.79,3607.96
0.1159,28.73,17.41,5906.15
0.3362,17.2,9.01,6603.91
0.2796,14.56,6.58,5696.95
0.1872,28.05,14.79,8402.82
0.4061,8.52,4.04,2760.22
0.2559,22.73,12.86,6852.34
0.7187,3.2,0.86,1118.52
0.7566,1.71,0.39,464.11
0.3166,20.82,9.13,6098.29
0.2634,15.53,7.29,4590.4
0.3364,9.89,5.24,4290.07
0.4026,10.31,4.73,2127.91
0.0553,51.8,28.58,13289.06
0.7384,4.04,1.07,1345.92
0.5996,5.89,1.82,2309.24
0.3758,7.34,3.05,2297.22
0.2734,18.58,10.09,4690.62
0.9308,1.05,0.27,488.68
0.3307,17.86,6.94,4640.84
0.5827,4.18,1.61,1419.43
0.3695,12.08,6.01,4305.17
0.5335,5.04,1.6,1661.67
0.4006,10.53,4.64,3565.66
0.6888,3.31,0.84,647.12
0.5631,3.71,1.69,1325.34
0.4985,14.27,7.11,6023.9
0.6568,2.53,0.65,964.32
0.4618,4.73,1.47,1872.66
0.4334,10.97,5.22,3463.4
0.8344,2.82,0.76,994.71
0.7369,2.74,0.97,751.51
0.4307,7.3,2.83,3155.58
0.3027,7.76,3.72,1868.93
0.8302,1.14,0.19,436.33
0.5555,4.98,1.88,1084.03
0.8163,1.72,0.38,682.0
0.4987,9.42,4.9,3203.42
0.8063,1.66,0.37,610.03
0.6961,5.06,1.6,1292.01
0.7138,2.24,0.61,919.66
0.7162,1.92,0.48,484.63
0.5833,5.41,1.65,1999.39
0.5924,5.01,2.28,1349.15
0.8521,1.77,0.52,674.98
0.4069,6.9,2.85,2064.86
0.5971,5.45,2.09,1549.89
0.6596,2.08,0.8,880.78
0.2614,13.39,7.49,5806.35
0.6249,4.98,1.52,1665.02
0.3348,8.29,3.76,2341.99
0.6976,4.37,0.96,1250.33
0.8105,1.14,0.28,513.75
0.4617,4.85,2.26,1497.18
0.5783,2.75,1.07,1045.81
0.7172,3.19,1.05,1141.71
0.7088,2.9,0.82,909.26
0.4004,16.02,6.65,6710.76
0.731,3.98,1.21,885.81
0.4395,9.43,3.58,3387.98
0.3679,8.97,4.35,2629.15
0.4421,6.07,2.25,1389.57
0.1476,36.26,22.2,7496.03
0.5655,6.73,2.8,2310.2
0.7327,1.77,0.49,479.65
0.3685,15.26,7.25,6060.85
0.3967,4.65,2.12,1333.37
0.7922,2.08,0.67,674.43
0.5332,6.03,2.29,2269.16
0.5225,5.65,2.29,1413.56
0.4767,8.28,4.11,1640.86
0.4468,6.03,2.66,1915.36
0.7207,2.66,0.43,884.74
0.6697,2.68,0.64,838.45
0.3354,14.84,7.49,4490.37
0.9098,2.43,0.47,909.43
0.1281,31.86,21.13,12294.63
0.6238,2.84,1.14,923.94
0.6972,1.81,0.42,804.37
0.2467,21.27,9.29,4332.5
0.3439,15.67,6.82,4732.24
0.5909,6.21,2.08,1789.46
0.4987,6.07,2.77,1891.92
0.4977,6.74,2.14,1466.33
0.7052,3.3,0.99,756.41
0.2031,20.66,12.98,5256.42
0.2975,14.6,7.81,3727.84
0.329,8.82,4.3,2542.88
0.2849,14.23,6.94,4236.83
0.6895,6.18,2.64,1651.98
0.9171,1.83,0.33,715.71
0.8788,1.77,0.47,599.05
0.4279,3.28,1.25,793.64
0.8112,1.47,0.19,451.92
0.3902,9.25,3.88,3022.55
0.7884,2.02,0.48,791.23
0.5427,6.42,2.45,2560.3
0.5982,4.77,1.48,1246.42
0.6714,2.39,0.74,873.17
0.4273,7.7,3.46,2363.15
0.2739,17.26,8.73,6748.62
0.2191,19.15,10.28,6855.93
0.7304,4.01,0.87,991.07
0.5299,5.11,1.98,2185.68
0.5356,3.16,1.39,921.89
0.3149,22.32,12.52,9206.76
0.7968,1.71,0.37,504.55
0.3862,14.16,7.95,4254.83
0.6887,2.48,0.67,921.3
0.4985,7.34,2.48,1540.42
0.4732,6.94,2.31,2660.09
0.5817,5.15,1.41,1141.44
0.5501,4.32,1.56,1006.23
0.7156,2.44,0.66,756.63
0.3208,12.65,5.52,5248.3
0.7994,1.93,0.4,960.32
0.8613,0.88,0.12,374.96
0.363,11.04,4.79,3460.19
0.4305,19.32,9.45,4660.19
0.7092,1.96,0.76,680.22
0.5381,5.35,2.42,2424.2
0.5162,6.01,2.54,2296.55
0.6743,5.56,1.6,2066.68
0.3468,7.03,2.83,1794.53
0.6989,3.82,1.36,1407.95
0.796,3.25,0.87,1567.61
0.5594,5.58,2.22,2354.4
0.7182,2.45,0.95,903.21
0.955,1.07,0.18,268.55
0.4026,8.36,4.57,3558.46
0.3748,9.7,3.84,3094.75
0.4759,10.42,4.63,2081.39
0.6582,3.13,0.94,718.93
0.528,5.48,1.65,1893.43
0.7783,2.06,0.56,987.73
0.6366,5.15,2.09,2183.11
0.5906,5.28,2.28,2271.94
0.3545,10.41,5.01,3445.51
0.896,1.51,0.12,763.62
0.2372,11.52,6.1,2634.29
0.384,3.92,1.7,850.03
0.5542,6.8,2.22,1436.92
0.3868,9.76,4.53,3648.51
0.3885,11.65,5.05,4666.6
0.6376,2.89,0.92,1298.86
0.3372,10.03,5.4,4229.17
0.5193,4.45,1.93,1489.08
0.5202,6.0,1.78,2219.18
0.2074,19.89,10.45,5293.94
0.2246,17.6,7.92,6462.62
0.2357,18.25,11.67,6743.42
0.7542,3.19,0.97,1073.51
0.4128,14.02,5.07,2804.99
0.3894,8.25,3.58,2107.46
0.6224,5.45,1.81,2258.84
0.7432,3.08,0.82,1159.61
0.7971,1.74,0.49,583.86
0.5135,6.47,2.86,2830.11
0.3977,9.79,4.27,2837.82
0.5528,4.76,1.65,1297.95
0.5921,5.96,1.98,2335.54
0.621,6.67,2.11,1955.75
0.7042,3.17,0.86,1005.4
0.6701,3.35,1.02,1206.46
0.6257,3.97,1.42,1238.75
0.5307,7.24,2.26,1944.34
0.3398,8.99,4.01,1744.39
0.6008,6.3,2.08,2618.27
0.3589,16.72,9.35,5256.71
0.2724,16.64,9.56,6529.99
0.6923,2.66,0.73,966.7
0.7909,1.67,0.43,623.78
0.4302,6.85,2.62,1950.32
0.6488,3.86,1.45,1182.0
0.4015,12.39,6.05,4573.81
0.3742,7.94,4.07,2654.32
0.3675,9.97,3.92,3437.16
0.4594,9.68,3.53,3614.24
0.3759,8.73,4.01,2296.6
0.7784,1.09,0.29,575.81
0.4951,5.51,2.72,1667.96
0.5091,10.8,3.11,3737.71
0.4979,6.85,2.53,1775.69
0.8486,1.45,0.31,477.43
0.6386,3.7,1.23,1557.72
0.5256,6.34,2.87,1744.51
0.5834,2.93,1.14,1298.78
0.6585,2.59,0.57,1058.96
0.6668,4.28,1.72,1568.02
0.7025,3.84,1.33,1100.01
0.5017,6.3,2.61,2633.89
0.3776,13.91,4.97,5708.29
0.4614,7.08,2.96,1803.56
0.886,0.66,0.15,236.21
0.2694,23.73,13.84,9563.72
0.2884,22.23,9.85,4594.36
